"age","birthSex","profile_education_level","ethnicity_new","ethnicity_new1617","w2_voted","w2_vb15","ScotPcon2014","w2_uk10"
73,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Prefer not to say",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Almond Valley",1
66,"Female","No formal qualifications","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Glasgow Maryhill and Springburn",2
52,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Edinburgh Northern and Leith",1
35,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Angus South",1
69,"Male","City & Guilds certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Angus South",1
53,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Midlothian South, Tweeddale and Lauderdale",1
74,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Don't know","Rutherglen",2
71,"Male","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Dunfermline",2
63,"Female","University diploma","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Alba Party","Mid Fife and Glenrothes",1
27,"Male","University diploma","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Edinburgh Western",1
59,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Kirkcaldy",1
66,"Female","CSE grade 1, GCE O level, GCSE, School Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Cumbernauld and Kilsyth",2
63,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Cumbernauld and Kilsyth",2
64,"Male","Recognised trade apprenticeship completed","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Falkirk West",1
33,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Edinburgh Western",2
33,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I usually vote but didn’t this time",NA,"Eastwood",1
48,"Male","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Dundee City East",1
74,"Male","CSE grade 1, GCE O level, GCSE, School Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Uddingston and Bellshill",2
29,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Aberdeenshire East",2
44,"Male","University diploma","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Edinburgh Southern",1
53,"Female","Scottish Ordinary/ Lower Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Alba Party","Edinburgh Pentlands",1
66,"Male","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Edinburgh Northern and Leith",1
53,"Male","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Midlothian North and Musselburgh",2
47,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Cunninghame South",1
72,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Cunninghame North",2
70,"Female","GCE A level or Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Dundee City West",2
61,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I usually vote but didn’t this time",NA,"Edinburgh Central",2
54,"Female","CSE grade 1, GCE O level, GCSE, School Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Galloway and West Dumfries",1
65,"Female","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Coatbridge and Chryston",2
49,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Dundee City East",1
64,"Male","GCE A level or Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Aberdeenshire East",2
62,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Angus North and Mearns",2
59,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Moray",1
56,"Female","Scottish Ordinary/ Lower Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Edinburgh Pentlands",4
57,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","North East Fife",2
65,"Male","University diploma","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Angus South",1
62,"Female","CSE grade 1, GCE O level, GCSE, School Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Angus North and Mearns",4
54,"Male","City & Guilds certificate - advanced","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Don't know","Cowdenbeath",1
38,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Edinburgh Central",4
71,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Uddingston and Bellshill",2
64,"Female","No formal qualifications","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"East Kilbride",2
55,"Male","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","UK Independence Party (UKIP)","East Kilbride",2
66,"Female","CSE grade 1, GCE O level, GCSE, School Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I thought about voting in the Scottish Parliament election but in the end I didn’t",NA,"Perthshire North",2
67,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","East Kilbride",1
69,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Edinburgh Pentlands",2
39,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Any other White background",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Dunfermline",1
29,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I thought about voting in the Scottish Parliament election but in the end I didn’t",NA,"Glasgow Cathcart",NA
54,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Any other White background",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Edinburgh Southern",1
59,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Liberal Democrat","Perthshire North",4
45,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Renfrewshire North and West",3
36,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Glasgow Cathcart",1
35,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Edinburgh Northern and Leith",1
53,"Female","CSE grade 1, GCE O level, GCSE, School Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Renfrewshire South",1
32,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Edinburgh Eastern",4
70,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Edinburgh Pentlands",4
62,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Cowdenbeath",2
54,"Female","City & Guilds certificate - advanced","English / Welsh / Scottish / Northern Irish / British",NA,"I usually vote but didn’t this time",NA,"Aberdeen Donside",3
57,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Kilmarnock and Irvine Valley",2
66,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Renfrewshire South",2
69,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Edinburgh Eastern",2
36,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Edinburgh Eastern",2
33,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Galloway and West Dumfries",2
60,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Caithness, Sutherland and Ross",1
65,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election",NA,"North East Fife",1
26,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Kirkcaldy",4
32,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Aberdeenshire West",2
42,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Any other Asian background",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Aberdeen South and North Kincardine",2
30,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Dundee City West",1
67,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I usually vote but didn’t this time",NA,"Glasgow Maryhill and Springburn",1
37,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I thought about voting in the Scottish Parliament election but in the end I didn’t",NA,"Ayr",2
27,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","East Kilbride",1
72,"Male","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Caithness, Sutherland and Ross",2
71,"Female","CSE grade 1, GCE O level, GCSE, School Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Renfrewshire South",2
31,"Female","University diploma","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Coatbridge and Chryston",4
29,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Any other White background",NA,"I thought about voting in the Scottish Parliament election but in the end I didn’t",NA,"Edinburgh Northern and Leith",1
31,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Glasgow Cathcart",1
65,"Male","No formal qualifications","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Glasgow Kelvin",1
39,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Glasgow Anniesland",1
31,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Edinburgh Western",4
64,"Female","Teaching qualification (not degree)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Clackmannanshire and Dunblane",2
58,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Kirkcaldy",2
65,"Male","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Aberdeen Donside",1
50,"Female","Scottish Ordinary/ Lower Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Don't know","Argyll and Bute",2
65,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Midlothian South, Tweeddale and Lauderdale",4
33,"Male","Prefer not to say","English / Welsh / Scottish / Northern Irish / British",NA,"I thought about voting in the Scottish Parliament election but in the end I didn’t",NA,"Dundee City West",4
48,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Stirling",2
63,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Glasgow Kelvin",2
57,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Any other White background",NA,"I thought about voting in the Scottish Parliament election but in the end I didn’t",NA,"Midlothian South, Tweeddale and Lauderdale",1
72,"Female","Scottish Ordinary/ Lower Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Kilmarnock and Irvine Valley",2
68,"Male","Prefer not to say","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Perthshire North",2
45,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Shetland Islands",1
50,"Male","Scottish Ordinary/ Lower Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Linlithgow",2
55,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Any other White background",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Stirling",4
70,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Argyll and Bute",1
79,"Male","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Perthshire South and Kinross-shire",2
49,"Female","Don't know","English / Welsh / Scottish / Northern Irish / British",NA,"Can’t recall",NA,"Skye, Lochaber and Badenoch",4
50,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Glasgow Pollok",2
77,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Liberal Democrat","Edinburgh Central",2
51,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Perthshire North",1
75,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Edinburgh Central",2
49,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Almond Valley",2
35,"Male","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Edinburgh Pentlands",1
67,"Female","Scottish Ordinary/ Lower Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Dumfriesshire",2
68,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Edinburgh Western",1
74,"Male","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Alba Party","Falkirk East",1
47,"Male","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Some other party","East Kilbride",1
61,"Male","GCE A level or Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","All for Unity","Strathkelvin and Bearsden",2
53,"Male","City & Guilds certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Dundee City West",2
59,"Male","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Eastwood",2
55,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Stirling",2
74,"Male","Prefer not to say","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Glasgow Maryhill and Springburn",1
70,"Female","Teaching qualification (not degree)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Almond Valley",2
71,"Female","No formal qualifications","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Renfrewshire South",2
25,"Female","GCE A level or Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Inverness and Nairn",3
84,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Aberdeen Central",3
27,"Male","Teaching qualification (not degree)","Any other Mixed / Multiple ethnic background",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Midlothian South, Tweeddale and Lauderdale",1
61,"Male","Scottish Ordinary/ Lower Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Ettrick, Roxburgh and Berwickshire",2
60,"Female","GCE A level or Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Perthshire North",2
41,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Midlothian North and Musselburgh",2
65,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Cowdenbeath",1
58,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I usually vote but didn’t this time",NA,"Skye, Lochaber and Badenoch",4
76,"Female","Other technical, professional or higher qualification","Any other White background",NA,"I definitely voted in the Scottish Parliament election","Scottish Liberal Democrat","Moray",2
30,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Aberdeen Central",1
51,"Male","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Dundee City West",1
65,"Male","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Angus North and Mearns",2
40,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Glasgow Maryhill and Springburn",1
71,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Argyll and Bute",2
29,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Midlothian North and Musselburgh",2
27,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Glasgow Maryhill and Springburn",1
69,"Male","ONC","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Ayr",2
45,"Female","Don't know","English / Welsh / Scottish / Northern Irish / British",NA,"I thought about voting in the Scottish Parliament election but in the end I didn’t",NA,"Perthshire South and Kinross-shire",2
30,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Indian",NA,"I definitely voted in the Scottish Parliament election","Don't know","Edinburgh Eastern",2
26,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","African",NA,"I usually vote but didn’t this time",NA,"Strathkelvin and Bearsden",2
57,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Any other White background",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Paisley",1
23,"Male","Don't know","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Some other party","Edinburgh Northern and Leith",2
55,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Dumfriesshire",2
52,"Male","Scottish Ordinary/ Lower Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Perthshire South and Kinross-shire",1
70,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Linlithgow",2
59,"Male","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Edinburgh Central",2
21,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Cowdenbeath",1
33,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Edinburgh Northern and Leith",2
22,"Female","University diploma","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Clydesdale",2
37,"Female","CSE grade 1, GCE O level, GCSE, School Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Inverness and Nairn",1
39,"Male","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Orkney Islands",2
25,"Male","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Skye, Lochaber and Badenoch",4
92,"Female","Teaching qualification (not degree)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Aberdeen South and North Kincardine",2
21,"Female","Prefer not to say","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Paisley",1
65,"Female","Scottish Ordinary/ Lower Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Glasgow Maryhill and Springburn",2
70,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Family Party","Carrick, Cumnock and Doon Valley",4
57,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Dunfermline",2
72,"Male","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Angus South",2
66,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Ayr",2
34,"Female","University diploma","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Edinburgh Central",2
31,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Liberal Democrat","Caithness, Sutherland and Ross",2
74,"Male","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Cunninghame North",2
41,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Cumbernauld and Kilsyth",1
